States,City,Station Code,Station Name,Board
Andhra Pradesh,Amaravati,site_1406,"Secretariat, Amaravati",APPCB
Andhra Pradesh,Rajamahendravaram,site_1399,"Anand Kala Kshetram, Rajamahendravaram",APPCB
Andhra Pradesh,Tirupati,site_258,"Tirumala, Tirupati",APPCB
Andhra Pradesh,Visakhapatnam,site_260,"GVM Corporation, Visakhapatnam",APPCB
Assam,Guwahati,site_5073,"Railway Colony, Guwahati",APCB
Bihar,Gaya,site_159,"Collectorate, Gaya",BSPCB
Bihar,Gaya,site_5338,"SFTI Kusdihra, Gaya",BSPCB
Bihar,Hajipur,site_5337,"Industrial Area, Hajipur",BSPCB
Bihar,Muzaffarpur,site_5370,"Buddha Colony, Muzaffarpur",BSPCB
Bihar,Muzaffarpur,site_158,"Muzaffarpur Collectorate, Muzaffarpur",BSPCB
Bihar,Patna,site_5336,"DRM Office Danapur, Patna",BSPCB
Bihar,Patna,site_5335,"Govt. High School Shikarpur, Patna",BSPCB
Bihar,Patna,site_157,"IGSC Planetarium Complex, Patna",BSPCB
Bihar,Patna,site_5261,"Muradpur, Patna",BSPCB
Bihar,Patna,site_5262,"Rajbansi Nagar, Patna",BSPCB
Bihar,Patna,site_5263,"Samanpura, Patna",BSPCB
Chandigarh,Chandigarh,site_5127,"Sector-25, Chandigarh",CPCC
Delhi,Delhi,site_5024,"Alipur, Delhi",DPCC
Delhi,Delhi,site_301,"Anand Vihar, Delhi",DPCC
Delhi,Delhi,site_1420,"Ashok Vihar, Delhi",DPCC
Delhi,Delhi,site_108,"Aya Nagar, Delhi",IMD
Delhi,Delhi,site_1560,"Bawana, Delhi",DPCC
Delhi,Delhi,site_103,"CRRI Mathura Road, Delhi",IMD
Delhi,Delhi,site_118,"DTU, Delhi",CPCB
Delhi,Delhi,site_1421,"Dr. Karni Singh Shooting Range, Delhi",DPCC
Delhi,Delhi,site_1422,"Dwarka-Sector 8, Delhi",DPCC
Delhi,Delhi,site_106,"IGI Airport (T3), Delhi",IMD
Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi",CPCB
Delhi,Delhi,site_117,"ITO, Delhi",CPCB
Delhi,Delhi,site_1423,"Jahangirpuri, Delhi",DPCC
Delhi,Delhi,site_1424,Jawaharlal Nehru Stadium,DPCC
Delhi,Delhi,site_109,"Lodhi Road, Delhi",IMD
Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi",DPCC
Delhi,Delhi,site_122,"Mandir Marg, Delhi",DPCC
Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",DPCC
Delhi,Delhi,site_115,"NSIT Dwarka, Delhi",CPCB
