,station_code,Date,Avg_pm_25_value
0,site_5024,25-08-2020,0
1,site_5024,26-08-2020,0
2,site_5024,27-08-2020,0
3,site_5024,28-08-2020,0
4,site_5024,29-08-2020,0
5,site_5024,30-08-2020,0
6,site_5024,31-08-2020,0
7,site_5024,01-09-2020,0
8,site_5024,02-09-2020,0
9,site_5024,03-09-2020,0
10,site_5024,04-09-2020,0
11,site_5024,05-09-2020,0
12,site_5024,06-09-2020,0
13,site_5024,07-09-2020,0
14,site_5024,08-09-2020,0
15,site_5024,09-09-2020,0
16,site_5024,10-09-2020,0
17,site_5024,11-09-2020,0
18,site_301,25-08-2020,0
19,site_301,26-08-2020,0
20,site_301,27-08-2020,0
21,site_301,28-08-2020,0
22,site_301,29-08-2020,0
23,site_301,30-08-2020,0
24,site_301,31-08-2020,0
25,site_301,01-09-2020,0
26,site_301,02-09-2020,0
27,site_301,03-09-2020,0
28,site_301,04-09-2020,0
29,site_301,05-09-2020,0
30,site_301,06-09-2020,0
31,site_301,07-09-2020,0
32,site_301,08-09-2020,0
33,site_301,09-09-2020,0
34,site_301,10-09-2020,0
35,site_301,11-09-2020,0
36,site_1420,25-08-2020,0
37,site_1420,26-08-2020,0
38,site_1420,27-08-2020,0
39,site_1420,28-08-2020,0
40,site_1420,29-08-2020,0
41,site_1420,30-08-2020,0
42,site_1420,31-08-2020,0
43,site_1420,01-09-2020,0
44,site_1420,02-09-2020,0
45,site_1420,03-09-2020,0
46,site_1420,04-09-2020,0
47,site_1420,05-09-2020,0
48,site_1420,06-09-2020,0
49,site_1420,07-09-2020,0
50,site_1420,08-09-2020,0
51,site_1420,09-09-2020,0
52,site_1420,10-09-2020,0
53,site_1420,11-09-2020,0
54,site_108,25-08-2020,0
55,site_108,26-08-2020,0
56,site_108,27-08-2020,0
57,site_108,28-08-2020,0
58,site_108,29-08-2020,0
59,site_108,30-08-2020,0
60,site_108,31-08-2020,0
61,site_108,01-09-2020,0
62,site_108,02-09-2020,0
63,site_108,03-09-2020,0
64,site_108,04-09-2020,0
