,States,City,st_Code,st_Name,Board,Latitude,Longitude
0,Andhra Pradesh,Amaravati,site_1406,"Secretariat, Amaravati",APPCB,16.515083,80.518167
1,Andhra Pradesh,Rajamahendravaram,site_1399,"Anand Kala Kshetram, Rajamahendravaram",APPCB,16.987287,81.736318
2,Andhra Pradesh,Tirupati,site_258,"Tirumala, Tirupati",APPCB,13.67,79.35
3,Andhra Pradesh,Visakhapatnam,site_260,"GVM Corporation, Visakhapatnam",APPCB,17.72,83.3
4,Assam,Guwahati,site_5073,"Railway Colony, Guwahati",APCB,26.181742,91.78063
5,Bihar,Gaya,site_159,"Collectorate, Gaya",BSPCB,24.7955,84.9994
6,Bihar,Gaya,site_5338,"SFTI Kusdihra, Gaya",BSPCB,24.762518,84.982348
7,Bihar,Hajipur,site_5337,"Industrial Area, Hajipur",BSPCB,25.697189,85.2459
8,Bihar,Muzaffarpur,site_5370,"Buddha Colony, Muzaffarpur",BSPCB,26.11442,85.39813
9,Bihar,Muzaffarpur,site_158,"Muzaffarpur Collectorate, Muzaffarpur",BSPCB,26.1209,85.3647
10,Bihar,Patna,site_5336,"DRM Office Danapur, Patna",BSPCB,25.586562,85.043586
11,Bihar,Patna,site_5335,"Govt. High School Shikarpur, Patna",BSPCB,25.592539,85.227158
12,Bihar,Patna,site_157,"IGSC Planetarium Complex, Patna",BSPCB,25.5941,85.1376
13,Bihar,Patna,site_5261,"Muradpur, Patna",BSPCB,25.619651,85.147382
14,Bihar,Patna,site_5262,"Rajbansi Nagar, Patna",BSPCB,25.599486,85.113666
15,Bihar,Patna,site_5263,"Samanpura, Patna",BSPCB,25.596727,85.085624
16,Chandigarh,Chandigarh,site_5127,"Sector-25, Chandigarh",CPCC,30.751462,76.762879
17,Delhi,Delhi,site_5024,"Alipur, Delhi",DPCC,28.815329,77.15301
18,Delhi,Delhi,site_301,"Anand Vihar, Delhi",DPCC,28.646835,77.316032
19,Delhi,Delhi,site_1420,"Ashok Vihar, Delhi",DPCC,28.695381,77.181665
20,Delhi,Delhi,site_108,"Aya Nagar, Delhi",IMD,28.470691,77.109936
21,Delhi,Delhi,site_1560,"Bawana, Delhi",DPCC,28.7762,77.051074
22,Delhi,Delhi,site_103,"CRRI Mathura Road, Delhi",IMD,28.551201,77.273574
23,Delhi,Delhi,site_118,"DTU, Delhi",CPCB,28.75005,77.111261
24,Delhi,Delhi,site_1421,"Dr. Karni Singh Shooting Range, Delhi",DPCC,28.498571,77.26484
25,Delhi,Delhi,site_1422,"Dwarka-Sector 8, Delhi",DPCC,28.571027,77.071901
26,Delhi,Delhi,site_106,"IGI Airport (T3), Delhi",IMD,28.562776,77.118005
27,Delhi,Delhi,site_114,"IHBAS, Dilshad Garden, Delhi",CPCB,28.681174,77.302523
28,Delhi,Delhi,site_117,"ITO, Delhi",CPCB,28.628624,77.24106
29,Delhi,Delhi,site_1423,"Jahangirpuri, Delhi",DPCC,28.73282,77.170633
30,Delhi,Delhi,site_1424,Jawaharlal Nehru Stadium,DPCC,28.58028,77.233829
31,Delhi,Delhi,site_109,"Lodhi Road, Delhi",IMD,28.591825,77.227307
32,Delhi,Delhi,site_1425,"Major Dhyan Chand National Stadium, Delhi",DPCC,28.611281,77.237738
33,Delhi,Delhi,site_122,"Mandir Marg, Delhi",DPCC,28.636429,77.201067
34,Delhi,Delhi,site_1561,"Mundka, Delhi - DPCC",DPCC,28.684678,77.076574
35,Delhi,Delhi,site_115,"NSIT Dwarka, Delhi",CPCB,28.60909,77.032541
36,Delhi,Delhi,site_1427,"Najafgarh, Delhi",DPCC,28.570173,76.933762
37,Delhi,Delhi,site_1426,"Narela, Delhi",DPCC,28.822836,77.101981
38,Delhi,Delhi,site_1429,"Nehru Nagar, Delhi",DPCC,28.56789,77.250515
39,Delhi,Delhi,site_105,"North Campus, DU, Delhi",IMD,28.657381,77.158545
40,Delhi,Delhi,site_1428,"Okhla Phase-2, Delhi",DPCC,28.530785,77.271255
41,Delhi,Delhi,site_1431,"Patparganj, Delhi ",DPCC,28.623748,77.287205
42,Delhi,Delhi,site_125,"Punjabi Bagh, Delhi",DPCC,28.674045,77.131023
43,Delhi,Delhi,site_1563,"Pusa, Delhi",DPCC,28.639645,77.146262
44,Delhi,Delhi,site_107,"Pusa, Delhi",IMD,28.639645,77.146263
45,Delhi,Delhi,site_124,"R K Puram, Delhi",DPCC,28.563262,77.186937
46,Delhi,Delhi,site_1430,"Rohini, Delhi",DPCC,28.732528,77.11992
47,Delhi,Delhi,site_113,"Shadipur, Delhi - CPCB',",CPCB,28.651478,77.147311
48,Delhi,Delhi,site_119,"Sirifort, Delhi",CPCB,28.550425,77.215938
49,Delhi,Delhi,site_1432,"Sonia Vihar, Delhi",DPCC,28.710508,77.249485
50,Delhi,Delhi,site_1562,"Sri Aurobindo Marg, Delhi",DPCC,28.531346,77.190156
51,Delhi,Delhi,site_1435,"Vivek Vihar, Delhi",DPCC,28.672342,77.31526
52,Delhi,Delhi,site_1434,"Wazirpur, Delhi",DPCC,28.699793,77.165453
53,Gujarat,Ahmedabad,site_308,"Maninagar, Ahmedabad",GPCB,23.002657,72.591912
54,Gujarat,Ankleshwar,site_5065,"GIDC, Ankleshwar",GPCB,21.613267,73.010555
55,Gujarat,Gandhinagar,site_5066,"Sector-10, Gandhinagar",GPCB,23.221714,72.654328
56,Gujarat,Nandesari,site_5274,"GIDC, Nandesari",Nandesari Ind. Association,22.410802,73.097923
57,Gujarat,Vapi,site_5071,"Phase-1 GIDC, Vapi",GPCB,20.362421,72.918013
58,Gujarat,Vatva,site_5067,"Phase-4 GIDC, Vatva",GPCB,22.969611,72.6435
59,Haryana,Ambala  ,site_5052,"Patti Mehar, Ambala",HSPCB,30.379589,76.778328
60,Haryana,Bahadurgarh ,site_5045,"Arya Nagar, Bahadurgarh",HSPCB,28.6701,76.9254
61,Haryana,Ballabgarh,site_5060,"Nathu Colony, Ballabgarh",HSPCB,28.341925,77.319699
62,Haryana,Bhiwani,site_5047,"H.B. Colony, Bhiwani",HSPCB,28.806223,76.141105
63,Haryana,Charkhi Dadri,site_5339,"Mini Secretariat, Charkhi Dadri",HSPCB,28.593883,76.270653
64,Haryana,Dharuhera,site_5044,"Municipal Corporation Office, Dharuhera",HSPCB,28.2068,76.7997
65,Haryana,Faridabad,site_5340,"New Industrial Town, Faridabad",HSPCB,28.39072,77.30059
66,Haryana,Faridabad,site_5342,"Sector 11, Faridabad",HSPCB,28.376058,77.315741
67,Haryana,Faridabad,site_5341,"Sector 30, Faridabad",HSPCB,28.4417,77.3217
68,Haryana,Faridabad,site_263,"Sector- 16A, Faridabad",HSPCB,28.408842,77.309908
69,Haryana,Fatehabad ,site_5054,"Huda Sector, Fatehabad",HSPCB,29.503664,75.467934
70,Haryana,Gurugram,site_5025,"NISE Gwal Pahari, Gurugram",HSPCB,28.422681,77.148944
