,station_code,Date,Avg_pm_25_value
0,site_5024,01-09-2020,27
1,site_5024,02-09-2020,30
2,site_5024,03-09-2020,60
3,site_5024,04-09-2020,66
4,site_5024,05-09-2020,120
5,site_5024,06-09-2020,57
6,site_5024,07-09-2020,70
7,site_5024,08-09-2020,52
8,site_5024,09-09-2020,76
9,site_5024,10-09-2020,78
10,site_5024,11-09-2020,116
11,site_301,01-09-2020,26
12,site_301,02-09-2020,31
13,site_301,03-09-2020,64
14,site_301,04-09-2020,63
15,site_301,05-09-2020,89
16,site_301,06-09-2020,75
17,site_301,07-09-2020,133
18,site_301,08-09-2020,67
19,site_301,09-09-2020,77
20,site_301,10-09-2020,90
21,site_301,11-09-2020,97
22,site_1420,01-09-2020,19
23,site_1420,02-09-2020,22
24,site_1420,03-09-2020,
25,site_1420,04-09-2020,58
26,site_1420,05-09-2020,86
27,site_1420,06-09-2020,46
28,site_1420,07-09-2020,94
29,site_1420,08-09-2020,59
30,site_1420,09-09-2020,
31,site_1420,10-09-2020,
32,site_1420,11-09-2020,87
33,site_108,01-09-2020,26
34,site_108,02-09-2020,28
35,site_108,03-09-2020,54
36,site_108,04-09-2020,61
37,site_108,05-09-2020,44
38,site_108,06-09-2020,34
39,site_108,07-09-2020,68
40,site_108,08-09-2020,41
41,site_108,09-09-2020,86
42,site_108,10-09-2020,89
43,site_108,11-09-2020,120
44,site_1560,01-09-2020,34
45,site_1560,02-09-2020,36
46,site_1560,03-09-2020,82
47,site_1560,04-09-2020,71
48,site_1560,05-09-2020,109
49,site_1560,06-09-2020,58
50,site_1560,07-09-2020,77
51,site_1560,08-09-2020,51
52,site_1560,09-09-2020,106
53,site_1560,10-09-2020,100
54,site_1560,11-09-2020,120
55,site_103,01-09-2020,30
56,site_103,02-09-2020,32
57,site_103,03-09-2020,43
58,site_103,04-09-2020,74
59,site_103,05-09-2020,64
60,site_103,06-09-2020,40
61,site_103,07-09-2020,80
62,site_103,08-09-2020,57
63,site_103,09-09-2020,92
64,site_103,10-09-2020,95
65,site_103,11-09-2020,114
66,site_118,01-09-2020,24
67,site_118,02-09-2020,38
68,site_118,03-09-2020,
69,site_118,04-09-2020,90
70,site_118,05-09-2020,129
71,site_118,06-09-2020,56
72,site_118,07-09-2020,76
73,site_118,08-09-2020,66
74,site_118,09-09-2020,120
75,site_118,10-09-2020,114
76,site_118,11-09-2020,131
77,site_1421,01-09-2020,19
78,site_1421,02-09-2020,20
79,site_1421,03-09-2020,41
80,site_1421,04-09-2020,44
81,site_1421,05-09-2020,35
82,site_1421,06-09-2020,25
83,site_1421,07-09-2020,52
84,site_1421,08-09-2020,33
85,site_1421,09-09-2020,
86,site_1421,10-09-2020,
87,site_1421,11-09-2020,
88,site_1422,01-09-2020,
89,site_1422,02-09-2020,27
90,site_1422,03-09-2020,53
91,site_1422,04-09-2020,59
92,site_1422,05-09-2020,69
93,site_1422,06-09-2020,44
94,site_1422,07-09-2020,87
95,site_1422,08-09-2020,47
96,site_1422,09-09-2020,106
97,site_1422,10-09-2020,108
98,site_1422,11-09-2020,142
99,site_106,01-09-2020,27
100,site_106,02-09-2020,28
101,site_106,03-09-2020,61
102,site_106,04-09-2020,65
103,site_106,05-09-2020,78
104,site_106,06-09-2020,41
105,site_106,07-09-2020,83
106,site_106,08-09-2020,35
107,site_106,09-09-2020,98
108,site_106,10-09-2020,103
109,site_106,11-09-2020,128
110,site_114,01-09-2020,29
111,site_114,02-09-2020,29
112,site_114,03-09-2020,43
113,site_114,04-09-2020,41
114,site_114,05-09-2020,46
115,site_114,06-09-2020,37
116,site_114,07-09-2020,50
117,site_114,08-09-2020,36
118,site_114,09-09-2020,47
119,site_114,10-09-2020,38
120,site_114,11-09-2020,42
121,site_117,01-09-2020,26
122,site_117,02-09-2020,
123,site_117,03-09-2020,55
124,site_117,04-09-2020,
125,site_117,05-09-2020,64
126,site_117,06-09-2020,36
127,site_117,07-09-2020,55
128,site_117,08-09-2020,34
129,site_117,09-09-2020,47
130,site_117,10-09-2020,58
131,site_117,11-09-2020,66
132,site_1423,01-09-2020,27
133,site_1423,02-09-2020,30
134,site_1423,03-09-2020,74
135,site_1423,04-09-2020,
136,site_1423,05-09-2020,
137,site_1423,06-09-2020,66
138,site_1423,07-09-2020,92
139,site_1423,08-09-2020,69
140,site_1423,09-09-2020,137
141,site_1423,10-09-2020,144
142,site_1423,11-09-2020,145
143,site_1424,01-09-2020,
144,site_1424,02-09-2020,
145,site_1424,03-09-2020,
146,site_1424,04-09-2020,54
147,site_1424,05-09-2020,48
148,site_1424,06-09-2020,
149,site_1424,07-09-2020,
150,site_1424,08-09-2020,39
151,site_1424,09-09-2020,69
152,site_1424,10-09-2020,71
153,site_1424,11-09-2020,84
154,site_109,01-09-2020,34
155,site_109,02-09-2020,25
156,site_109,03-09-2020,49
157,site_109,04-09-2020,37
158,site_109,05-09-2020,36
159,site_109,06-09-2020,24
160,site_109,07-09-2020,43
161,site_109,08-09-2020,26
162,site_109,09-09-2020,44
163,site_109,10-09-2020,50
164,site_109,11-09-2020,60
165,site_1425,01-09-2020,22
166,site_1425,02-09-2020,19
167,site_1425,03-09-2020,48
168,site_1425,04-09-2020,54
169,site_1425,05-09-2020,57
170,site_1425,06-09-2020,38
171,site_1425,07-09-2020,75
172,site_1425,08-09-2020,
173,site_1425,09-09-2020,76
174,site_1425,10-09-2020,79
175,site_1425,11-09-2020,94
176,site_122,01-09-2020,
177,site_122,02-09-2020,
178,site_122,03-09-2020,
179,site_122,04-09-2020,
180,site_122,05-09-2020,
181,site_122,06-09-2020,42
182,site_122,07-09-2020,
183,site_122,08-09-2020,39
184,site_122,09-09-2020,50
185,site_122,10-09-2020,63
186,site_122,11-09-2020,91
187,site_1561,01-09-2020,23
188,site_1561,02-09-2020,
189,site_1561,03-09-2020,56
190,site_1561,04-09-2020,61
191,site_1561,05-09-2020,
192,site_1561,06-09-2020,
193,site_1561,07-09-2020,
194,site_1561,08-09-2020,
195,site_1561,09-09-2020,
196,site_1561,10-09-2020,94
197,site_1561,11-09-2020,113
198,site_115,01-09-2020,34
199,site_115,02-09-2020,30
200,site_115,03-09-2020,28
201,site_115,04-09-2020,30
202,site_115,05-09-2020,30
203,site_115,06-09-2020,28
204,site_115,07-09-2020,45
205,site_115,08-09-2020,28
206,site_115,09-09-2020,46
207,site_115,10-09-2020,40
208,site_115,11-09-2020,50
209,site_1427,01-09-2020,16
210,site_1427,02-09-2020,13
211,site_1427,03-09-2020,44
212,site_1427,04-09-2020,57
213,site_1427,05-09-2020,59
214,site_1427,06-09-2020,18
215,site_1427,07-09-2020,54
216,site_1427,08-09-2020,
217,site_1427,09-09-2020,90
218,site_1427,10-09-2020,
219,site_1427,11-09-2020,213
220,site_1426,01-09-2020,38
221,site_1426,02-09-2020,33
222,site_1426,03-09-2020,87
223,site_1426,04-09-2020,77
224,site_1426,05-09-2020,103
225,site_1426,06-09-2020,53
226,site_1426,07-09-2020,65
227,site_1426,08-09-2020,46
228,site_1426,09-09-2020,83
229,site_1426,10-09-2020,83
230,site_1426,11-09-2020,97
231,site_1429,01-09-2020,
232,site_1429,02-09-2020,
233,site_1429,03-09-2020,48
234,site_1429,04-09-2020,59
235,site_1429,05-09-2020,58
236,site_1429,06-09-2020,39
237,site_1429,07-09-2020,82
238,site_1429,08-09-2020,51
239,site_1429,09-09-2020,83
240,site_1429,10-09-2020,96
241,site_1429,11-09-2020,104
242,site_105,01-09-2020,
243,site_105,02-09-2020,31
244,site_105,03-09-2020,59
245,site_105,04-09-2020,54
246,site_105,05-09-2020,92
247,site_105,06-09-2020,
248,site_105,07-09-2020,
249,site_105,08-09-2020,
250,site_105,09-09-2020,
251,site_105,10-09-2020,83
252,site_105,11-09-2020,114
253,site_1428,01-09-2020,21
254,site_1428,02-09-2020,19
255,site_1428,03-09-2020,48
256,site_1428,04-09-2020,56
257,site_1428,05-09-2020,56
258,site_1428,06-09-2020,35
259,site_1428,07-09-2020,75
260,site_1428,08-09-2020,47
261,site_1428,09-09-2020,82
262,site_1428,10-09-2020,
263,site_1428,11-09-2020,92
264,site_1431,01-09-2020,18
265,site_1431,02-09-2020,23
266,site_1431,03-09-2020,61
267,site_1431,04-09-2020,67
268,site_1431,05-09-2020,71
269,site_1431,06-09-2020,
270,site_1431,07-09-2020,
271,site_1431,08-09-2020,48
272,site_1431,09-09-2020,81
273,site_1431,10-09-2020,86
274,site_1431,11-09-2020,103
275,site_125,01-09-2020,27
276,site_125,02-09-2020,24
277,site_125,03-09-2020,57
278,site_125,04-09-2020,57
279,site_125,05-09-2020,
280,site_125,06-09-2020,
281,site_125,07-09-2020,111
282,site_125,08-09-2020,48
283,site_125,09-09-2020,81
284,site_125,10-09-2020,84
285,site_125,11-09-2020,81
286,site_1563,01-09-2020,15
287,site_1563,02-09-2020,69
288,site_1563,03-09-2020,59
289,site_1563,04-09-2020,40
290,site_1563,05-09-2020,54
291,site_1563,06-09-2020,
292,site_1563,07-09-2020,
293,site_1563,08-09-2020,42
294,site_1563,09-09-2020,72
295,site_1563,10-09-2020,85
296,site_1563,11-09-2020,
297,site_107,01-09-2020,48
298,site_107,02-09-2020,
299,site_107,03-09-2020,
300,site_107,04-09-2020,52
301,site_107,05-09-2020,64
302,site_107,06-09-2020,50
303,site_107,07-09-2020,88
304,site_107,08-09-2020,48
305,site_107,09-09-2020,77
306,site_107,10-09-2020,82
307,site_107,11-09-2020,83
308,site_124,01-09-2020,38
309,site_124,02-09-2020,20
310,site_124,03-09-2020,26
311,site_124,04-09-2020,31
312,site_124,05-09-2020,38
313,site_124,06-09-2020,22
314,site_124,07-09-2020,49
315,site_124,08-09-2020,33
316,site_124,09-09-2020,59
317,site_124,10-09-2020,61
318,site_124,11-09-2020,85
319,site_1430,01-09-2020,30
320,site_1430,02-09-2020,32
321,site_1430,03-09-2020,68
322,site_1430,04-09-2020,78
323,site_1430,05-09-2020,111
324,site_1430,06-09-2020,59
325,site_1430,07-09-2020,85
326,site_1430,08-09-2020,63
327,site_1430,09-09-2020,107
328,site_1430,10-09-2020,103
329,site_1430,11-09-2020,102
330,site_113,01-09-2020,24
331,site_113,02-09-2020,34
332,site_113,03-09-2020,49
333,site_113,04-09-2020,34
334,site_113,05-09-2020,41
335,site_113,06-09-2020,30
336,site_113,07-09-2020,71
337,site_113,08-09-2020,39
338,site_113,09-09-2020,56
339,site_113,10-09-2020,59
340,site_113,11-09-2020,69
341,site_119,01-09-2020,39
342,site_119,02-09-2020,29
343,site_119,03-09-2020,62
344,site_119,04-09-2020,69
345,site_119,05-09-2020,59
346,site_119,06-09-2020,35
347,site_119,07-09-2020,82
348,site_119,08-09-2020,48
349,site_119,09-09-2020,99
350,site_119,10-09-2020,93
351,site_119,11-09-2020,
352,site_1432,01-09-2020,31
353,site_1432,02-09-2020,28
354,site_1432,03-09-2020,77
355,site_1432,04-09-2020,78
356,site_1432,05-09-2020,99
357,site_1432,06-09-2020,52
358,site_1432,07-09-2020,
359,site_1432,08-09-2020,
360,site_1432,09-09-2020,82
361,site_1432,10-09-2020,84
362,site_1432,11-09-2020,99
363,site_1562,01-09-2020,25
364,site_1562,02-09-2020,17
365,site_1562,03-09-2020,48
366,site_1562,04-09-2020,58
367,site_1562,05-09-2020,48
368,site_1562,06-09-2020,27
369,site_1562,07-09-2020,57
370,site_1562,08-09-2020,41
371,site_1562,09-09-2020,72
372,site_1562,10-09-2020,74
373,site_1562,11-09-2020,78
374,site_1435,01-09-2020,21
375,site_1435,02-09-2020,29
376,site_1435,03-09-2020,69
377,site_1435,04-09-2020,68
378,site_1435,05-09-2020,88
379,site_1435,06-09-2020,72
380,site_1435,07-09-2020,154
381,site_1435,08-09-2020,66
382,site_1435,09-09-2020,80
383,site_1435,10-09-2020,88
384,site_1435,11-09-2020,145
385,site_1434,01-09-2020,
386,site_1434,02-09-2020,
387,site_1434,03-09-2020,48
388,site_1434,04-09-2020,55
389,site_1434,05-09-2020,
390,site_1434,06-09-2020,
391,site_1434,07-09-2020,
392,site_1434,08-09-2020,45
393,site_1434,09-09-2020,55
394,site_1434,10-09-2020,64
395,site_1434,11-09-2020,66
